date,bitcoin,
05/04/2011,28.91380753,
06/04/2011,28.91380753,
07/04/2011,28.91380753,
08/04/2011,9.637935844,
09/04/2011,67.46555091,
10/04/2011,38.55174338,
11/04/2011,38.55174338,
12/04/2011,9.637935844,
13/04/2011,28.91380753,
14/04/2011,28.91380753,
15/04/2011,28.91380753,
16/04/2011,48.18967922,
17/04/2011,38.55174338,
18/04/2011,77.10348675,
19/04/2011,57.82761506,
20/04/2011,38.55174338,
21/04/2011,57.82761506,
22/04/2011,38.55174338,
23/04/2011,38.55174338,
24/04/2011,38.55174338,
25/04/2011,48.18967922,
26/04/2011,48.18967922,
27/04/2011,67.46555091,
28/04/2011,86.7414226,
29/04/2011,77.10348675,
30/04/2011,77.10348675,
01/05/2011,106.0172943,
02/05/2011,96.37935844,
03/05/2011,67.46555091,
04/05/2011,38.55174338,
05/05/2011,57.82761506,
06/05/2011,67.46555091,
07/05/2011,48.18967922,
08/05/2011,115.6552301,
09/05/2011,106.0172943,
10/05/2011,96.37935844,
11/05/2011,106.0172943,
12/05/2011,115.6552301,
13/05/2011,96.37935844,
14/05/2011,163.8449093,
15/05/2011,77.10348675,
16/05/2011,395.1553696,
17/05/2011,308.413947,
18/05/2011,221.6725244,
19/05/2011,501.1726639,
20/05/2011,385.5174338,
21/05/2011,269.8622036,
22/05/2011,279.5001395,
23/05/2011,289.1380753,
24/05/2011,298.7760112,
25/05/2011,385.5174338,
26/05/2011,337.3277545,
27/05/2011,260.2242678,
28/05/2011,212.0345886,
29/05/2011,260.2242678,
30/05/2011,279.5001395,
31/05/2011,655.3796374,
01/06/2011,491.534728,
02/06/2011,645.7417015,
03/06/2011,655.3796374,
04/06/2011,607.1899582,
05/06/2011,607.1899582,
06/06/2011,587.9140865,
07/06/2011,549.3623431,
08/06/2011,771.0348675,
09/06/2011,799.948675,
10/06/2011,742.12106,
11/06/2011,925.241841,
12/06/2011,944.5177127,
13/06/2011,693.9313808,
14/06/2011,790.3107392,
15/06/2011,819.2245467,
16/06/2011,848.1383543,
17/06/2011,848.1383543,
18/06/2011,751.7589958,
19/06/2011,732.4831241,
20/06/2011,963.7935844,
21/06/2011,703.5693166,
22/06/2011,799.948675,
23/06/2011,597.5520223,
24/06/2011,424.0691771,
25/06/2011,366.2415621,
26/06/2011,433.707113,
27/06/2011,510.8105997,
28/06/2011,433.707113,
29/06/2011,375.8794979,
30/06/2011,356.6036262,
01/07/2011,346.9656904,
02/07/2011,318.0518829,
03/07/2011,337.3277545,
04/07/2011,318.0518829,
05/07/2011,327.6898187,
06/07/2011,279.5001395,
07/07/2011,491.534728,
08/07/2011,318.0518829,
09/07/2011,308.413947,
10/07/2011,404.7933054,
11/07/2011,289.1380753,
12/07/2011,289.1380753,
13/07/2011,318.0518829,
14/07/2011,404.7933054,
15/07/2011,260.2242678,
16/07/2011,221.6725244,
17/07/2011,240.9483961,
18/07/2011,318.0518829,
19/07/2011,337.3277545,
20/07/2011,327.6898187,
21/07/2011,279.5001395,
22/07/2011,221.6725244,
23/07/2011,202.3966527,
24/07/2011,212.0345886,
25/07/2011,240.9483961,
26/07/2011,289.1380753,
27/07/2011,260.2242678,
28/07/2011,221.6725244,
29/07/2011,212.0345886,
30/07/2011,231.3104603,
31/07/2011,318.0518829,
01/08/2011,289.1380753,
02/08/2011,269.8622036,
03/08/2011,298.8843442,
04/08/2011,268.9959097,
05/08/2011,328.7727786,
06/08/2011,328.7727786,
07/08/2011,378.5868359,
08/08/2011,268.9959097,
09/08/2011,249.0702868,
10/08/2011,259.0330983,
11/08/2011,259.0330983,
12/08/2011,209.2190409,
13/08/2011,229.1446639,
14/08/2011,268.9959097,
15/08/2011,268.9959097,
16/08/2011,229.1446639,
17/08/2011,239.1074753,
18/08/2011,278.9587212,
19/08/2011,259.0330983,
20/08/2011,239.1074753,
21/08/2011,308.8471556,
22/08/2011,249.0702868,
23/08/2011,249.0702868,
24/08/2011,328.7727786,
25/08/2011,199.2562294,
26/08/2011,199.2562294,
27/08/2011,249.0702868,
28/08/2011,149.4421721,
29/08/2011,219.1818524,
30/08/2011,199.2562294,
31/08/2011,229.1446639,
01/09/2011,209.2190409,
02/09/2011,199.2562294,
03/09/2011,169.367795,
04/09/2011,199.2562294,
05/09/2011,159.4049835,
06/09/2011,239.1074753,
07/09/2011,219.1818524,
